occupation,mdn_weekly_earnings_total,mdn_weekly_earnings_men,mdn_weekly_earning_women
Social and human service assistants,"1,034","1,056","1,024"
Other community and social service specialists,"1,134",–,"1,026"
Clergy,"1,155","1,159","1,140"
"Directors, religious activities and education","1,161",–,–
"Religious workers, all other",–,–,–
Legal occupations,"1,904","2,475","1,580"
Lawyers,"2,505","2,857","2,296"
Judicial law clerks,–,–,–
"Judges, magistrates, and other judicial workers","2,307",–,–
Paralegals and legal assistants,"1,189","1,409","1,156"
"Title examiners, abstractors, and searchers","1,314",–,"1,018"
"Legal support workers, all other","1,428",–,–
"Education, training, and library occupations","1,217","1,414","1,146"
Postsecondary teachers,"1,821","1,898","1,680"
Preschool and kindergarten teachers,831,–,822
Elementary and middle school teachers,"1,253","1,384","1,226"
Secondary school teachers,"1,365","1,415","1,346"
Special education teachers,"1,170",–,"1,183"
Tutors,–,–,–
Other teachers and instructors,"1,157","1,299","1,040"
"Archivists, curators, and museum technicians","1,293",–,–
Librarians and media collections specialists,"1,109",–,"1,046"
Library technicians,–,–,–
Teaching assistants,725,880,716
Other educational instruction and library workers,"1,261",–,"1,173"
"Arts, design, entertainment, sports, and media occupations","1,413","1,516","1,302"
Artists and related workers,"1,483","1,502",–
Commercial and industrial designers,–,–,–
Fashion designers,–,–,–
Floral designers,–,–,–
Graphic designers,"1,305","1,430","1,224"
Interior designers,"1,224",–,–
Merchandise displayers and window trimmers,–,–,–
Other designers,"1,568","1,825","1,367"
Actors,–,–,–
Producers and directors,"1,760","1,483","1,898"
Athletes and sports competitors,–,–,–
Coaches and scouts,"1,039","1,216",–
"Umpires, referees, and other sports officials",–,–,–
Dancers and choreographers,–,–,–
Music directors and composers,–,–,–
Musicians and singers,–,–,–
"Disc jockeys, except radio",–,–,–
"Entertainers and performers, sports and related workers, all other",–,–,–
Broadcast announcers and radio disc jockeys,–,–,–
"News analysts, reporters, and journalists","1,420",–,–
Public relations specialists,"1,878",–,"1,743"
Editors,"1,347",–,"1,263"
Technical writers,"1,643",–,–
Writers and authors,"1,618",–,"1,609"
Interpreters and translators,–,–,–
Court reporters and simultaneous captioners,–,–,–
"Media and communication workers, all other",–,–,–
"Broadcast, sound, and lighting technicians","1,507","1,625",–
Photographers,"1,255","1,268",–
"Television, video, and film camera operators and editors","1,728",–,–
"Media and communication equipment workers, all other",–,–,–
Healthcare practitioners and technical occupations,"1,472","1,773","1,400"
Chiropractors,–,–,–
Dentists,"2,281",–,–
Dietitians and nutritionists,"1,350",–,"1,348"
Optometrists,–,–,–
Pharmacists,"2,477","2,582","2,320"
Emergency medicine physicians,–,–,–
Radiologists,–,–,–
Other physicians,"3,429","3,506","3,167"
Surgeons,–,–,–
Physician assistants,"2,333",–,"2,209"
Podiatrists,–,–,–
Audiologists,–,–,–
Occupational therapists,"1,633",–,"1,617"
Physical therapists,"1,584","1,732","1,535"
Radiation therapists,–,–,–
Recreational therapists,–,–,–
Respiratory therapists,"1,420",–,"1,400"
Speech-language pathologists,"1,525",–,"1,453"
Exercise physiologists,–,–,–
"Therapists, all other","1,265",–,"1,237"
Veterinarians,"2,503",–,–
Registered nurses,"1,507","1,761","1,476"
Nurse anesthetists,–,–,–
Nurse midwives,–,–,–
Nurse practitioners,"2,183",–,"2,117"
Acupuncturists,–,–,–
"Healthcare diagnosing or treating practitioners, all other",–,–,–
Clinical laboratory technologists and technicians,"1,228","1,363","1,155"
Dental hygienists,"1,438",–,"1,419"
Cardiovascular technologists and technicians,"1,411",–,–
Diagnostic medical sonographers,"1,558",–,"1,568"
Radiologic technologists and technicians,"1,318","1,465","1,228"
Magnetic resonance imaging technologists,–,–,–
Nuclear medicine technologists and medical dosimetrists,–,–,–
Emergency medical technicians,982,"1,021",868
Paramedics,"1,548","1,578",–
Pharmacy technicians,888,885,889
Psychiatric technicians,768,–,765
Surgical technologists,"1,224",–,"1,167"
Veterinary technologists and technicians,824,–,876
Dietetic technicians and ophthalmic medical technicians,806,–,–
Licensed practical and licensed vocational nurses,"1,021","1,150","1,010"
Medical records specialists,"1,053",–,"1,062"
"Opticians, dispensing",–,–,–
Miscellaneous health technologists and technicians,"1,162",–,"1,069"
Other healthcare practitioners and technical occupations,"1,346",–,"1,341"
,,,
Service occupations,758,834,713
Healthcare support occupations,753,841,741
Home health aides,709,765,696
Personal care aides,713,739,707
Nursing assistants,755,850,743
Orderlies and psychiatric aides,–,–,–
